단원,단어,뜻
03 단원,insofar as,"~하는 한, ~하는[인] 한에 있어서(는)"
03 단원,do without,~ 없이 지내다[해내다]
04 단원,registration,"등록, 기재; (우편물의) 등기"
04 단원,notion,"생각, 개념; 의견"
04 단원,fiber,"섬유; 섬유 조직; 소질, 기질"
04 단원,refine,(물질을) 정제[제련/정련]하다; 세련되게 하다; 개선하다
04 단원,trajectory,"궤적, 궤도; 탄도(彈道)"
04 단원,strain,"부담, 압박; 긴장, 팽팽함; (근육의) 긴장, 염좌; 잡아당기다, 팽팽하게 하다"
04 단원,tension,"긴장 (상태), 팽팽함; 팽팽하게 하다"
04 단원,drawback,"결점, 문제점"
04 단원,fertilize,"(토지를) 비옥하게 하다, 비료를 주다; 수정시키다"
04 단원,conceivable,"생각할 수 있는, 상상할 수 있는"
04 단원,legitimate,"합법적인; 타당한, 정당한; 합법화하다"
04 단원,legal,법률의; 합법적인
04 단원,splash,"(물·흙탕물 등을) 튀(기)다; (흙탕물 등이) 튄 것, 얼룩"
04 단원,suspicion,"혐의, 의혹, 의심"
04 단원,skepticism,"회의; 회의론, 회의적 태도"
04 단원,deprivation,"박탈; 면직; 결핍, 빈곤"
04 단원,hostility,"적의, 적대(감); (생각·계획 등에 대한) 반대, 대립"
04 단원,hospitality,"환대, 후한 대접; 친절"
04 단원,alienate,"소외시키다, 소외감을 느끼게 하다"
04 단원,alleviate,"(고통 등을) 덜다, 경감하다, 완화하다"
04 단원,renovate,"개조하다, 수선하다; 혁신하다, 쇄신하다"
04 단원,imminent,"(위험 등이) 임박한, 목전의"
04 단원,eminent,"저명한; 뛰어난, 탁월한"
04 단원,spare,"~당하지 않게 하다, 면하게 하다; 아끼다, 절약하다; 나누어 주다, 할애하다; 남는, 여분의; 예비의; 검소한, 절약하는"
04 단원,make sense,"말이 되다, 타당하다; 의미가 통하다"
04 단원,by definition,"당연히, 분명히; 본질적으로; 정의상, 의미상"
04 단원,make up for,"(손실을) 보상[보전]하다, 벌충하다"
04 단원,compensate for,~을 보상하다; ~을 보충[보완]하다
04 단원,keep ~ away from …,"~을 …에서 멀리 두다, ~가 …에 가까이 가지 못하게 하다"
04 단원,draw ~ into …,~을 …에 끌어들이다
05 단원,bias,"편견, 선입견; 성향; 편견을 갖게 하다"
05 단원,atmosphere,"대기, 공기; 분위기, 기운"
05 단원,identical,"동일한, 똑같은"
05 단원,distinct,"뚜렷이 다른, 별개의; 뚜렷한, 분명한"
05 단원,ritual,"의식, 제식; 의식의, 의례적인"
05 단원,mindset,"사고방식, 태도"
05 단원,impair,"손상시키다, 해치다"
05 단원,undermine,기반을 약화시키다; (명성 등을) 손상시키다
05 단원,scratch,"(가려운 데를) 긁다; 할퀴다; 긁음; 긁힌 자국, 찰과상"
05 단원,ape,유인원; 흉내 내다
05 단원,stalk,"줄기; 몰래 접근하다, 스토킹하다; 활보하다"
05 단원,sprint,전력 질주하다; 전력 질주; 단거리 경기
05 단원,maximization,극대화
05 단원,tease,"놀리다; 곯리다, 괴롭히다; 곯리기; 곯리는 사람"
05 단원,rejoice,크게 기뻐하다; 축하하다
05 단원,mourn,(불행 등을) 슬퍼하다; 애도하다
05 단원,appliance,"(가정용) 기기; 전기 제품[기구]; 응용, 적용"
05 단원,compliance,"(법·명령 등의) 준수, 따름"
05 단원,deem,"(~으로) 여기다, 생각하다"
05 단원,doom,"(나쁜) 운명, 파멸; 운명을 정하다"
05 단원,deviation,"벗어남, 일탈 (행위), 탈선"
05 단원,distress,"고통, 괴로움; 곤란, 곤궁; 괴롭히다, 고통스럽게 하다"
05 단원,distrust,불신; 의혹; 불신하다; 의심하다
05 단원,minute,"미세한, 아주 작은; 사소한; 상세[정밀]한, 철저한; 세심한; (시간·각도 단위의) 분; 순간; (pl.)회의록"
05 단원,take over,"이어받다, 인계받다; 인수하다; (정권 등을) 장악하다"
05 단원,cast one’s eye on,"~에 눈길을 주다, ~을 바라보다"
05 단원,put up with,"~을 참다, ~을 견디다"
05 단원,come down with,(별로 심각하지 않은 병에) 걸리다[들다]
05 단원,last but not least,마지막(이지만 마찬가지로 중요한 것)으로
05 단원,dwell on,~을 곰곰이 생각하다; ~을 자세히 설명하다
06 단원,capture,"붙잡다, 체포하다; (마음·주의 등을) 사로잡다"
06 단원,liberate,"자유롭게 하다, 해방하다; 석방하다"
06 단원,infant,"유아, 소아; 유치원생; 유아용의; 초기의"
06 단원,sustain,"지탱하게 하다, 지속하다; (생명을) 유지하다"
06 단원,portion,"일부, 부분; 몫;(음식의)1인분; (부분·몫으로) 분배하다"
06 단원,fierce,"사나운, 잔인한; (감정 등이) 격렬한, 맹렬한"
06 단원,brutal,"잔혹한, 무자비한; 야만적인"
06 단원,assimilation,"동화 (작용), 융합; 흡수"
06 단원,validate,"입증하다, 승인[인정]하다; (법적으로) 유효하게 하다, 비준(批准)하다"
06 단원,conquer,"정복하다, 이기다; (곤란 등을) 극복하다; (명성 등을) 획득하다"
06 단원,enable,가능하게 하다; ~을 할 수 있게 하다
06 단원,forbid,금(지)하다; ~을 어렵게[못 하게] 하다
06 단원,starve,"굶주리다[굶기다], 굶어 죽다; 갈망하다, 갈망하게 하다"
06 단원,cram,"밀어 넣다, 채워 넣다; 벼락치기 공부를 하다"
06 단원,nourish,기르다; ~에 영양분을 주다
06 단원,televise,"TV로 방송하다, 방영하다"
06 단원,resent,"분개하다, 원망하다"
06 단원,withdraw,"움츠리다, 뒤로 빼다; 철수하다[시키다], 물러나다; (통화·서적 등을) 회수하다, 거둬들이다"
06 단원,withstand,"견디다, 버티다; 저항하다"
06 단원,withhold,"억제하다, 숨기다; (승낙 등을) 보류하다, 주지 않다"
06 단원,mute,"무언의, 말없는; 말을 못하는; 소리를 줄이다"
06 단원,mutual,"상호 간의, 서로의"
06 단원,mutate,돌연변이하다[시키다]; 변형되다[시키다]
06 단원,credit,"신용(도), 신뢰; 신용 거래; 공, 명예, 영예; 명성, 평판; 믿다, 신용하다; (공로 등을) ~에게 돌리다, ~에게 (…이) 있다고 믿다"
06 단원,account for,"(부분·비율을) 차지하다; ~을 설명하다, ~을 해명하다"
06 단원,come into play,작동[활동]하기 시작하다
06 단원,the chances are that,"아마 ~일 것이다, ~할 가능성이 높다"
06 단원,come into contact with,~와 접촉하다[마주치다]
06 단원,give rise to,"~을 낳다[일으키다], ~이 생기게 하다"
06 단원,end up -ing,결국 ~하게 되다
07 단원,characteristic,"특징, 특성, 특질; 특유의, 특징적인"
07 단원,norm,"표준, 기준; 규범, 모범"
07 단원,criterion,"기준, 척도(pl.criteria)"
07 단원,reproduction,"생식, 번식; 재생[재현]; 복제; 복사물"
07 단원,architectural,"건축의, 건축(학)상의"
07 단원,axis,"(사물의) 축, 축선; 중심선"
07 단원,navigate,항행[항해]하다; 헤치고 나아가다; (배·비행기를) 조종[운전]하다; 검색하다
07 단원,steer,"조종하다, ~의 키를 잡다;; (어떤 방향으로) 돌리다; (특정 방향으로) 움직이다, 나아가다"
07 단원,neural,신경(계)의
07 단원,fragile,"깨지기[부서지기] 쉬운, 취약한; 허약한"
07 단원,delicate,"부서지기 쉬운, 연약한; (감촉·자태가) 섬세한, 우아한; (감각·감정이) 민감한, 세심한"
07 단원,sweeper,청소부; 청소기; 관리인
07 단원,decay,"부패, 부식; 쇠퇴, 퇴락; 부패하다, 썩다; 쇠퇴하다, 퇴락하다"
07 단원,thorn,(식물의) 가시; 가시나무; 고통을 주는 것
07 단원,encompass,"포함하다, 망라하다; 에워싸다, 둘러싸다"
07 단원,testimony,"증거, 증언"
07 단원,destination,"목적지, 도착지; 목적"
07 단원,destiny,"운명, 숙명"
07 단원,embrace,"감싸다, 껴안다; 받아들이다, 포용하다; 포괄하다, 포함하다"
07 단원,counteract,"(악영향 등에) 대응하다, 방지하다"
07 단원,counterpart,"상응자[물], 대응자[물]"
07 단원,dispense,"분배하다, 나누어 주다; 베풀다; (약을) 조제하다"
07 단원,disperse,"분산[해산]시키다, 흩어지다"
07 단원,degree,"정도, 등급; 학위; 계급; (온도·각도·경위도 등의) 도(度)"
07 단원,pay off,"결실을 맺다, 성공하다; ~을 다 갚다"
07 단원,discourage ~ from -ing,"~가 …하는 것을 단념시키다, ~가 …하지 않도록 방해하다"
07 단원,be concerned about,"~에 관해 신경 쓰다, ~에 대해 걱정[우려]하다"
07 단원,come to an end,"끝나다, 종결되다; 죽다"
07 단원,leap to a conclusion,"속단하다, 성급한 결론을 내리다"
07 단원,engage with,~와 관계를 맺다; ~에 관여하다
08 단원,rely,"의존[의지]하다; 신뢰하다, 믿다"
08 단원,critic,"비평가, 평론가"
08 단원,vivid,"생생한, 눈에 보이는 듯한; (색·빛 등이) 선명한, 밝은; 활발한, 힘찬"
08 단원,pale,창백한; 활기 없는; (색이) 옅은; (빛이) 희미한; 창백[흐릿]해지다
08 단원,resilience,"회복[복원]력; 탄성, 탄력(성)"
08 단원,astronomer,천문학자
08 단원,basin,"웅덩이; (하천의) 유역, 분지; 양푼, 대야"
08 단원,famine,"기근, 기아; (물자의) 심한 부족"
08 단원,superficial,"외관상의, 표면상의; 피상적인, 깊이 없는; (상처 등이) 얕은"
08 단원,profound,"(지식·이해 등이) 깊은, 심오한; 엄청난"
08 단원,functionality,"기능성, 실용성"
08 단원,swell,"부풀[리]다, 팽창하다[시키다]; 부어오르다; (파도가) 넘실거리다; 부풀기, 팽창; (파도의) 넘실거림"
08 단원,advocate,"지지자, 옹호자; 지지하다, 옹호하다"
08 단원,opponent,"대항자, 반대자, 상대; 반대하는, 적대하는"
08 단원,revive,소생하다[시키다]; 활기를 되찾다[되찾게 하다]; 재개하다; 부흥[부활]시키다
08 단원,triumph,승리; 대성공; 승리를 거두다; 성공하다
08 단원,edible,"먹을 수 있는, 식용의; 식품, 음식"
08 단원,perspective,"시각, 관점; 원근법"
08 단원,respective,"각자의, 각각의"
08 단원,prospective,"장래의, 미래의; 가망이 있는, 유망한"
08 단원,dissent,"이의, 반대, 불찬성; 반대하다, 이의를 말하다"
08 단원,decent,"(수준·질이) 괜찮은, 쓸 만한; 품위 있는, 예의 바른; (상황에) 적절한, 온당한"
08 단원,descent,"하강, 강하; 내리막; 가계, 혈통"
08 단원,due,"~으로 인한, ~ 때문인; ~하기로 되어 있는[예정된]; 지급 기일이 된, 만기의; 정당한; 적당한"
08 단원,in terms of,"~의 측면에서, ~에 관해서"
08 단원,down the road,"앞으로, 장차 언젠가는"
08 단원,dispose of,~을 없애다[처리하다]; (문제 등을) 처리[해결]하다
08 단원,catch up with,~을 따라잡다; ~를 체포하다
08 단원,let alone,"~은 말할 것도 없이, ~은 고사하고"
08 단원,enroll in,~에 등록하다
09 단원,merge,융합하다[시키다]; 합병하다[시키다]
09 단원,separate,"분리되다[하다]; 떼어 놓다; 분리된, 별개의"
09 단원,adolescent,"청소년[사춘기의 사람], 젊은이; 청소년기[사춘기]의, 청춘의"
09 단원,synthetic,"합성한, 인조의; 종합적인; 인조[합성] 물질"
09 단원,flavor,"맛, 풍미; 멋, 운치; 맛을 내다, 풍미를 곁들이다"
09 단원,transit,"운송; 통과, 횡단; 환승; 변이, 변천; 운송하다; 통과하다, 횡단하다"
09 단원,variable,"변하기 쉬운, 가변적인; 변수"
09 단원,spill,"엎지르다, 흘리다; 쏟아지다, 넘치다; 유출(물); 엎지름"
09 단원,vague,"희미한, 어렴풋한; (형태 등이) 모호한, 애매한; 멍청한"
09 단원,apparent,"분명한, 명백한; 외관상의"
09 단원,geometry,기하학
09 단원,symbiotic,"공생의, 공생하는"
09 단원,overflow,"넘치다; 범람하다; (감정이) 가득 차다, 충만하다; 넘침; 범람; 과잉, 과도"
09 단원,botanical,식물학(상)의
09 단원,trim,"다듬다, 손질하다; (불필요한 부분을) 잘라 내다; 다듬기; 정돈"
09 단원,hemisphere,(지구의) 반구; (뇌의) 반구; 반구체
09 단원,consciousness,"의식, 자각"
09 단원,conscience,"양심, 도의심"
09 단원,humiliation,"굴욕, 수치; 창피 주기"
09 단원,humility,"겸손, 겸양, 스스로 낮춤"
09 단원,externalize,"(내적인 것을) 외면화하다, 객관화하다"
09 단원,prosecute,"기소하다, 공소하다"
09 단원,persecute,"(종교·정치적 이유로) 박해하다, 괴롭히다"
09 단원,patient,"참을성[인내심]이 있는, 잘 견디는; 끈기 있는, 근면한; 지속적인; (해석 등을) 허용하는, 여지가 있는; 병자, 환자"
09 단원,derive ~ from …,~을 …에서 얻다[끌어내다]
09 단원,stem from,"~에서 비롯되다, ~에서 유래하다"
09 단원,equip ~ with …,"~에 …을 갖추게 하다, ~에 …을 제공하다"
09 단원,all of a sudden,"갑자기, 느닷없이"
09 단원,let go of,"(쥐고 있던 것을) 놓다; (생각·태도 등을) 버리다, 포기하다"
09 단원,give way to,"~으로 바뀌다; ~에 굽히다, ~에게 항복하다"
10 단원,struggle,애쓰다; 분투[고투]하다; 노력; 분투
10 단원,strive,"노력하다, 애쓰다; 분투하다"
10 단원,tangible,"분명히 실재하는, 유형(有形)의; 만질[감지할] 수 있는"
10 단원,dimensional,치수의; 차원의
10 단원,weed,"잡초, 수초; 잡초를 뽑다"
10 단원,bounce,"튀다, 튀게 하다; (사람이) 뛰어오르다; 튐; 뛰어오름"
10 단원,browse,"둘러보다, 훑어보다; (정보를) 열람[검색]하다"
10 단원,alternative,"대체의, 대안의; 대안, 다른 방도"
10 단원,ingredient,"재료, 성분; 구성 요소"
10 단원,greed,탐욕; 식탐
10 단원,tribal,"부족의, 종족의"
10 단원,haul,"(세게) 끌다; 운반하다, 차로 나르다"
10 단원,vertical,"수직의, 세로의"
10 단원,horizontal,"수평(선)의, 가로의; 수평선[면]"
10 단원,presuppose,"예상하다, 미리 추정하다; 전제로 하다"
10 단원,extraction,"뽑아냄, 추출; 혈통, 계통"
10 단원,consume,"소비[소모]하다; 낭비하다; 먹다, 마시다"
10 단원,resume,"재개하다, 다시 시작하다; (권리·건강 등을) 되찾다, 회복하다"
10 단원,consent,"동의, 승낙; (의견의) 일치; 동의하다, 허락하다"
10 단원,content,"함량, 용량; 내용; 목차; 만족한"
10 단원,roam,"돌아다니다, 배회하다"
10 단원,confident,"자신감 있는, 확신하는"
10 단원,confidential,비밀[기밀]의; 은밀한; 신뢰할 수 있는
10 단원,preserve,"지키다, 보호하다; 보존[관리]하다, 유지하다; (음식물을) 저장하다; 소금[설탕]에 절이다; 보존하는 것; 보호 구역"
10 단원,turn out,~인 것으로 드러나다[밝혀지다]; (일·결과 등이 특정 방식으로) 되다
10 단원,far from,"~이라기보다는, 결코 ~이 아닌; ~에서 멀리"
10 단원,by no means,결코 ~이 아닌
10 단원,convert ~ into …,~을 …으로 바꾸다[전환하다]
10 단원,lie in,"~에 있다, ~에 놓여 있다"
10 단원,hit the mark,"예상이 들어맞다, 적중하다; 목표를 달성하다"
11 단원,thorough,"빈틈없는, 철저한; 순전한, 완전한"
11 단원,conventional,"전통적인, 종래의; 관습적인; 틀에 박힌, 전형적인"
11 단원,infrastructure,(사회) 기반 시설; (단체 등의) 하부 조직[구조]
11 단원,analogy,"유사점, 비슷함; 유추"
11 단원,aggregate,"합계, 총액; 총체적인, 합계의; 모으다, 결집시키다; 총계 ~이 되다"
11 단원,extrovert,"외향적인 사람; 외향성의, 외향적인"
11 단원,introvert,"내성[내향]적인 사람; 내성[내향]적인, 내향성의"
11 단원,clinical,"임상의; 병상의; 분석적인, 냉철한"
11 단원,tariff,"관세; 관세표, 관세율; 운임표, 요금표"
11 단원,diminution,"감소, 축소"
11 단원,overvalue,"과대평가하다, 지나치게 중시하다"
11 단원,overestimate,과대평가하다
11 단원,coincide,동시에 일어나다; (생각·의견 등이) 일치하다
11 단원,unveil,"(그림·동상 등의) 덮개[베일]를 벗기다; 공개하다, (비밀 등을) 밝히다"
11 단원,disclose,"(비밀 등을) 밝히다, 털어놓다; (숨은 것을) 드러내다, 노출시키다"
11 단원,contradict,"부정[부인]하다, 반박하다; ~에 모순되다"
11 단원,diverse,"다양한, 가지각색의"
11 단원,reverse,"반대로[거꾸로] 하다; 뒤집다; 반대의; 뒤의; 역, 반대; 뒤"
11 단원,defect,"결함, 결점; 단점; (정당·국가 등을) 버리다"
11 단원,infect,감염[전염]시키다; 오염시키다
11 단원,sabotage,파괴[방해] 행위; 사보타주; (고의로) 방해[파괴]하다; 사보타주하다
11 단원,quote,"인용하다; (가격을) 말하다, 시세를 매기다"
11 단원,quota,"할당량, 한도; 몫; 상품 할당량, 쿼터"
11 단원,sentence,"문장; 판결, 선고; 형벌; 선고하다, 판결하다; 형에 처하다"
11 단원,make up,~을 구성하다[이루다]; 화장하다; (이야기 등을) 지어내다
11 단원,get through,~을 통과하다[빠져나가다]; ~을 해내다[끝내다]; ~에 합격하다
11 단원,a case in point,적절한[딱 들어맞는] 사례
11 단원,cut down on,~을 줄이다
11 단원,make a fool of,"~를 망신 주다, ~를 바보로 만들다"
11 단원,in a nutshell,"아주 간결하게, 요약하자면"
12 단원,surround,"둘러싸다, 에워싸다; 포위하다"
12 단원,discipline,규율; 훈련; 절제력; 학문 (분야)
12 단원,flatter,"아첨하다, 치켜세우다"
12 단원,degrade,품위[평판]를 떨어뜨리다; (질적으로) 저하시키다; (화학적으로) 분해되다[하다]
12 단원,portray,"그리다, 묘사하다; 나타내다"
12 단원,depict,"그리다, 묘사하다"
12 단원,awkward,"(사람·동작 등이) 어색한; 서투른; 불편한, 다루기 힘든; 귀찮은, 난처한"
12 단원,allocate,"배당하다, 할당하다; 배치하다"
12 단원,commodity,"상품, 물품; 일용품, 필수품; 유용한[쓸모 있는] 것"
12 단원,coherent,"일관성 있는, 논리 정연한; 응집성의"
12 단원,biomass,생물량
12 단원,literate,읽고 쓸 수 있는; 박식한; 글을 아는 사람
12 단원,disapprove,못마땅해하다; 비난하다; 찬성[승인]하지 않다
12 단원,patriotic,"애국적인, 애국의"
12 단원,explicit,"명시적인, 명백한; 솔직한, 숨김없는"
12 단원,implicit,함축[암시]적인; 내재하는; 절대적인
12 단원,articulate,"분명히 표현하다; 또렷이 발음하다; 명확히 표현된, 분명한; 논리 정연한"
12 단원,involve,포함[수반]하다; 관련[연루]시키다; 참여시키다
12 단원,evolve,(서서히) 발달하다[시키다]; 진화하다[시키다]
12 단원,revolve,(축을 중심으로) 돌다[회전하다]; 순환하다; (~을 중심으로) 전개하다
12 단원,unanimous,"만장일치의, 이의가 없는"
12 단원,anonymous,"익명의, 작자 불명의; 특색 없는"
12 단원,autonomous,"자치의, 자주적인; (사람이) 자율적인"
12 단원,wind,"구불구불하다, 굽이치다; 감기다, 감다; 바람; 가스; 숨, 호흡"
12 단원,drop off,내려놓다; 감소하다; 잠이 들다
12 단원,give away,"기부하다, 나눠 주다; 양보하다, 양도하다; 폭로하다, 누설하다"
12 단원,think outside the box,틀에서 벗어나[창의적으로] 생각하다
12 단원,distinguish ~ from …,~을 …과 구별하다
12 단원,more often than not,"자주, 대개"
12 단원,in a vacuum,외부와 단절된 상태에서
13 단원,exposure,"노출, 드러냄; 접하기, 체험[경험]하기; 폭로; 적발"
13 단원,revelation,"드러냄, 폭로; (신의) 계시"
13 단원,spatial,"공간의, 공간적인; 우주의"
13 단원,archaeologist,고고학자
13 단원,confine,제한[국한]하다; 가두다; 경계; 한계
13 단원,expand,"(범위·크기를) 넓히다, 확대[확장]하다; (부피를) 팽창시키다"
13 단원,conformity,"순응, 따름, 복종; 유사; 일치"
13 단원,scheme,"계획, 안; 개요; 책략, 음모; 책략을 꾸미다"
13 단원,adjacent,"인접한, 부근의"
13 단원,accumulation,"축적, 누적; 축적물, 모인 돈"
13 단원,hesitation,"주저, 망설임; 우유부단"
13 단원,tolerate,"용인하다, 너그럽게 보아주다; 참다"
13 단원,dismissal,"해고, 해임; 묵살, 일축; (소송의) 기각"
13 단원,layoff,해고[휴직] (기간)
13 단원,peculiar,"이상한, 기이한; 특유한, 고유한"
13 단원,scribble,"휘갈겨 쓰다, 낙서하다; 휘갈겨 쓴 글씨, 낙서"
13 단원,addition,"추가, 부가; 덧셈"
13 단원,addiction,중독; 탐닉
13 단원,radial,"광선의; 방사상의, 복사형의"
13 단원,radical,"근본적인, 기초적인; 급진적인, 과격한; 급진주의자"
13 단원,maturity,"성숙(기), 원숙(기)"
13 단원,hypothesis,가설; 추측(pl.hypotheses)
13 단원,hypnosis,최면 (상태); 최면술
13 단원,article,"기사, 논설; (규칙·계약 등의) 조항, 규약; 물품, 물건; 품목"
13 단원,in favor of,"~에 유리하게, ~의 이익을 위하여; ~에 찬성[지지]하여"
13 단원,go about,~을 시작하다; 계속 ~을 하다
13 단원,a multitude of,다수의
13 단원,in nature,"사실상, 현실적으로; 완전히"
13 단원,opt for,~을 선택하다
13 단원,a dose of,"약간의, 일정량의"
14 단원,independent,"(나라·조직이) 독립된, 자치적인; 독립심이 강한; 자율[자립]적인"
14 단원,interpretation,"해석, 해설; 통역"
14 단원,flexibility,"유연성, 구부리기 쉬움; 융통성"
14 단원,rigidity,"단단함, 경직; 엄격"
14 단원,trace,"자취, 흔적; 극미량, 조금; 추적하다, 찾아내다"
14 단원,default,"불이행; 기본(값), 디폴트; 이행하지 않다"
14 단원,declare,선언[공표]하다; (소득액·과세품을) 신고하다
14 단원,contaminate,오염시키다; 악영향을 주다
14 단원,cheat,"속이다, 사기 치다; 부정행위를 하다; 속임수; 사기꾼"
14 단원,fraud,"사기, 속임수; 사기꾼, 협잡꾼"
14 단원,improvised,"즉흥의, 즉석에서 지은"
14 단원,trade-off,"(대립되는 요소 사이의) 균형; (타협을 위한) 거래, 교환"
14 단원,pharmacy,"약국; 약학, 약제학"
14 단원,meditate,"명상하다, 숙고하다; 꾀하다, 계획하다"
14 단원,displacement,"이동; 대체; 해고, 면직"
14 단원,fluctuation,"변동, 변화; 동요, 불안정"
14 단원,comparative,"비교의, 비교에 의한; 비교적인, 상대적인"
14 단원,comparable,"필적하는, 비교할 수 있는; 비슷한"
